file_id,d_0,cc_0,r_0,ciwc_0,clwc_0,q_0,crwc_0,t_0,u_0,v_0,w_0,d_1,cc_1,r_1,ciwc_1,clwc_1,q_1,crwc_1,t_1,u_1,v_1,w_1,d_2,cc_2,r_2,ciwc_2,clwc_2,q_2,crwc_2,t_2,u_2,v_2,w_2,d_3,cc_3,r_3,ciwc_3,clwc_3,q_3,crwc_3,t_3,u_3,v_3,w_3,d_4,cc_4,r_4,ciwc_4,clwc_4,q_4,crwc_4,t_4,u_4,v_4,w_4,d_5,cc_5,r_5,ciwc_5,clwc_5,q_5,crwc_5,t_5,u_5,v_5,w_5,d_6,cc_6,r_6,ciwc_6,clwc_6,q_6,crwc_6,t_6,u_6,v_6,w_6,d_7,cc_7,r_7,ciwc_7,clwc_7,q_7,crwc_7,t_7,u_7,v_7,w_7,d_8,cc_8,r_8,ciwc_8,clwc_8,q_8,crwc_8,t_8,u_8,v_8,w_8
24,1.2812656e-05,0.45117188,94.072235,0.0,2.092123e-05,0.00806931,1.9325405e-05,286.84625,-0.39108562,2.7927608,-0.1845023,-0.00011915203,0.021484375,92.12375,0.0,6.7800283e-07,0.008434195,2.1683514e-05,287.15198,-1.9974089,4.9139767,-0.19448155,1.0480624e-05,0.060546875,94.48239,0.0,1.7017126e-05,0.008161236,0.00011279852,287.3412,-1.1462126,3.3848019,-0.27517766,-5.3929645e-05,0.0,94.11984,0.0,0.0,0.008403484,1.33835665e-05,285.51965,-2.5215788,7.8232784,-0.24662083,1.4544916e-05,0.15429688,94.67917,0.0,1.9319355e-05,0.008953799,5.2907035e-05,286.84448,0.034207344,3.0132198,-0.14306706,4.6319183e-06,0.0,84.54636,0.0,0.0,0.008826856,5.6596935e-05,287.81842,-3.8245573,7.304968,0.050048172,-7.840354e-06,0.0,92.77072,0.0,0.0,0.008852664,1.8370292e-06,286.51398,4.0104036,8.997717,0.030341446,1.4306497e-05,0.3046875,95.71384,0.0,2.7805567e-05,0.009013955,2.9709652e-05,286.35413,-0.6281462,4.765417,0.08418971,-4.749607e-05,0.0,93.018524,0.0,0.0,0.008989338,2.4507284e-05,288.01984,-1.9521208,3.5052853,-0.12397832
27,1.5266254e-05,0.09375,94.52962,0.0,3.1366944e-06,0.005518172,2.6594258e-05,279.3307,-0.62497896,5.080677,0.1290744,5.1826253e-05,0.765625,98.61702,8.1490725e-08,2.1785498e-05,0.0044958033,3.248953e-05,279.8136,-0.66208833,1.2563361,0.077522576,-6.712972e-05,0.0,86.430984,0.0,0.0,0.004241679,1.6509897e-05,280.09607,-0.49704927,1.1727179,-0.08017701,-9.9964425e-05,0.00390625,94.00862,0.0,5.066395e-07,0.0055984296,5.085521e-05,279.5747,-0.5858554,5.0782356,-0.17814606,9.4436255e-06,0.23828125,97.76692,4.749745e-07,2.2798777e-06,0.004948262,4.590989e-05,279.3838,0.73299223,0.093128085,0.0035098195,6.980078e-05,0.0,85.368,0.0,0.0,0.0046429373,2.008245e-05,278.92102,0.21443754,0.1428107,-0.0065457225,5.7067737e-05,0.0,88.19466,0.0,9.685755e-08,0.0054918565,5.578377e-05,280.62402,-0.6177158,6.9511604,0.31324035,3.8899496e-05,0.1484375,90.98323,6.2561594e-07,4.068017e-06,0.0042981245,1.3259582e-05,280.60352,1.5760708,1.5412482,0.016685784,3.196673e-05,0.0,66.77962,0.0,0.0,0.0040727295,1.3746664e-05,283.17444,0.88130766,2.669056,0.1747821
30,-4.913773e-05,0.08251953,82.72296,0.0,1.790002e-06,0.005029876,5.9266576e-06,279.89294,4.3797846,0.77608,-0.31263387,2.572943e-05,0.043945312,93.7381,0.0,1.2293458e-06,0.0056506284,3.783563e-05,280.2068,2.0382318,2.0019102,0.023990273,-4.596378e-05,0.0,83.3819,0.0,3.9627776e-07,0.006272394,4.677726e-05,282.72632,1.84414,5.453326,-0.06390035,-5.2002477e-05,0.0,78.172424,0.0,0.0,0.0056321807,4.2260626e-06,282.2257,8.42434,-0.98685944,-0.058819175,-0.00012182559,0.013183594,87.059875,0.0,1.1888333e-06,0.0063894875,5.0307903e-05,282.66492,9.386743,2.437213,-0.22898519,-2.381693e-05,0.0,77.882385,0.0,0.0,0.0065024085,2.3900251e-05,284.76562,1.800683,4.4506407,0.3703648,-1.4559584e-05,0.0,81.55963,0.0,0.0,0.006412465,1.6220565e-05,283.5874,9.721948,1.296832,-0.027691245,-7.115792e-05,0.0,84.949524,0.0,0.0,0.0069055744,9.225402e-06,284.06177,8.129296,7.167926,-0.18349874,6.834758e-06,0.0,79.65997,0.0,0.0,0.006472606,1.3177004e-05,284.5542,2.3624506,2.3595762,-0.09038961
34,3.9879233e-06,0.0,25.121841,0.0,0.0,0.0020659403,0.0,286.32715,2.5797272,0.6936514,0.10039031,5.00679e-06,0.0,24.180435,0.0,0.0,0.002149506,0.0,287.36523,2.128006,0.9206411,0.028595798,7.5511634e-06,0.0,29.060562,0.0,0.0,0.002712442,0.0,287.53076,1.990982,0.8332388,0.05762183,-2.0185485e-05,0.0,17.261002,0.0,0.0,0.001598312,0.0,288.47064,2.2281647,1.5238822,0.047633044,-2.0395964e-06,0.0,24.450699,0.0,0.0,0.002495958,0.0,288.9989,2.0597076,1.7973197,0.02765929,1.071021e-06,0.0,27.872574,0.0,0.0,0.002716227,0.0,287.15057,2.5807648,2.382891,0.061133258,1.1300668e-05,0.0,17.15651,0.0,0.0,0.0018504695,0.0,289.38507,2.447342,1.4352286,0.03992354,1.4478341e-05,0.0,21.819107,0.0,0.0,0.0023592548,0.0,289.51917,2.485611,1.0466788,0.047509067,5.8000907e-05,0.0,25.450455,0.0,0.0,0.0026849941,0.0,288.16388,4.777237,0.94929713,0.05434882
42,3.5078832e-05,0.0,76.66635,0.0,0.0,0.007886473,2.6769703e-07,292.927,0.28141212,6.8577623,0.07820296,8.60408e-05,0.0,72.93613,0.0,0.0,0.007926468,0.0,291.82837,-1.0603542,5.0838366,0.1789949,6.0699967e-06,0.0,72.287445,0.0,0.0,0.006429378,8.28004e-09,288.11072,-1.5474148,2.7057848,0.020536184,7.843235e-06,0.0,68.52304,0.0,0.0,0.009196226,0.0,293.73096,0.4450779,3.2206774,-0.043237925,1.6913691e-07,0.0,72.30429,0.0,0.0,0.008777384,0.0,293.02173,-0.625967,2.4836168,-0.047174692,-3.7236503e-05,0.0,75.0206,0.0,0.0,0.008075062,0.0,292.59033,-1.0946865,2.1773424,-0.06870103,-1.0772041e-05,0.0,63.921722,0.0,0.0,0.008966688,0.0,295.18604,0.10013771,2.4452868,-0.032079935,-1.2239805e-05,0.0,71.267426,0.0,0.0,0.009004656,0.0,294.27502,-0.72225,2.3974352,-0.051832438,-1.3033292e-05,0.0,64.56113,0.0,0.0,0.0076346435,0.0,293.30115,-0.9494839,2.194066,-0.05052018
45,-1.0544929e-05,0.0,47.727707,0.0,0.0,0.0032019725,0.0,281.71063,2.8659277,0.82228315,-0.24282235,-9.269017e-06,0.0,40.10417,0.0,0.0,0.0031523814,0.0,283.67975,4.8154516,3.1562676,0.040518105,2.6384805e-05,0.0,57.361496,0.0,0.0,0.0030977537,1.6087506e-07,281.3305,3.1413183,0.15565717,-0.48505563,-8.886243e-06,0.0,50.03093,0.0,0.0,0.0037257185,0.0,282.0052,2.3393774,0.5331596,-0.11429757,2.1920976e-05,0.0,37.76384,0.0,0.0,0.0030337085,0.0,283.89526,2.20864,0.29384077,-0.28121346,3.0949217e-05,0.0,51.873215,0.0,0.0,0.0027265956,0.0,282.3158,2.4041357,-0.24674761,-0.14165658,-2.2694032e-05,0.0,42.095383,0.0,0.0,0.003501307,0.0,283.9734,1.3308935,0.5572685,-0.11596078,2.186044e-05,0.0,44.47087,0.0,0.0,0.0038150956,0.0,284.88208,1.8269873,1.631121,-0.17263192,1.2116943e-05,0.0,47.824387,0.0,0.0,0.0032090654,0.0,284.33557,2.661704,-0.19938433,0.12985831
50,-6.931684e-05,0.0,69.807495,0.0,0.0,0.0035749571,0.0,277.4776,3.8394551,-3.4426289,-0.31586415,-6.8940586e-05,0.0,74.24695,5.5879354e-09,0.0,0.0033784108,0.0,276.47522,1.4996724,1.2347393,0.031410635,2.2537643e-05,0.0,99.21765,3.349036e-06,0.0,0.0028965669,0.0,274.3263,1.0572286,-0.2331562,-0.14359242,-5.7850397e-05,0.0,74.375854,0.0,0.0,0.0035807388,6.228947e-08,277.3272,1.3532491,-1.4682636,-0.16612965,-5.5764234e-05,0.0,63.171753,0.0,0.0,0.0032869475,5.142283e-09,277.29187,3.6459126,-0.17907906,-0.02573353,7.610732e-05,0.0,86.276245,5.6810677e-07,0.0,0.0031115906,0.0,275.3167,2.4570699,0.46520805,0.16284984,2.8275826e-07,0.0,73.84558,0.0,0.0,0.0035659568,0.0,277.51996,1.0364156,-1.3375263,-0.007178843,-3.4075594e-05,0.0,75.65906,5.9604645e-08,0.0,0.003251274,0.0,276.45697,0.70047814,0.4810772,-0.11852223,2.1483385e-05,0.0,75.029175,0.0,0.0,0.0025247233,0.0,275.92743,2.6634908,-0.47107124,0.27608532
56,-7.762777e-06,0.0,67.93474,0.0,0.0,0.002235811,0.0,271.76068,3.3133965,-0.9926214,-0.029150605,1.6957318e-05,0.0,63.30339,0.0,0.0,0.0019891073,0.0,271.73456,4.237774,-1.2212591,-0.059134126,8.603354e-06,0.0,54.313644,0.0,0.0,0.0016435494,0.0,271.68536,4.958355,-1.3675299,-0.091894746,-3.8428407e-06,0.0,57.71257,0.0,0.0,0.0021226963,0.0,273.31445,3.78648,-0.55658627,-0.014288545,-2.8398063e-06,0.0,55.32878,0.0,0.0,0.0021102985,0.0,273.79346,3.682232,-0.55969906,0.0045102835,1.9032304e-05,0.0,52.543137,0.0,0.0,0.0017934849,0.0,273.3247,5.733074,-1.5221319,-0.21170676,1.2947974e-05,0.0,50.361008,0.0,0.0,0.0020323207,0.0,274.3581,3.5599174,-0.44592953,-0.05242026,2.770478e-05,0.0,53.089523,0.0,0.0,0.0019837131,0.0,274.16663,4.0220146,-0.5094366,-0.29190695,-2.1054613e-05,0.0,46.28044,0.0,0.0,0.001809295,0.0,274.92004,4.1050224,-1.2169256,0.54046
61,-5.963884e-05,0.35351562,98.45036,0.0,2.0880252e-06,0.008002717,1.2848086e-05,286.39014,-1.2520885,0.32813627,0.055311084,-5.9795304e-05,0.0,96.13347,0.0,0.0,0.008569259,9.292296e-06,287.83838,-0.6306286,1.3341177,0.023916125,-3.1989737e-05,0.0,91.844894,0.0,0.0,0.007924218,2.7721308e-05,287.69897,-0.9009533,3.553417,0.070905566,-6.385817e-06,0.0,91.49968,0.0,0.0,0.009941835,3.1305037e-05,290.51404,0.1804676,4.279064,0.058156848,-2.1874148e-06,0.0,90.529465,0.0,0.0,0.008562762,5.5145032e-05,289.203,-0.7070446,4.1114006,0.21695507,1.5481637e-05,0.0,92.611496,0.0,0.0,0.007343311,6.601916e-05,287.96033,-1.3514843,3.4693105,0.24190319,2.4645851e-05,0.0,96.10124,0.0,0.0,0.009607095,0.000100492995,290.2926,-1.5057507,1.6984365,-0.11226094,1.992361e-06,0.0,79.17839,0.0,0.0,0.007681925,5.3718246e-05,290.3042,-1.1227856,1.7580068,-0.03825581,6.995283e-05,0.0,79.938156,0.0,0.0,0.0067877956,2.1330572e-05,289.5863,-0.5716381,1.4013174,-0.060365796
64,-8.719726e-06,0.0,60.312393,0.0,0.0,0.0056482963,0.0,287.30585,0.29971772,-1.6976862,0.0039951205,-1.8279388e-06,0.0,53.82509,0.0,0.0,0.005428236,0.0,287.90033,-0.24831694,-2.1653376,0.0070087314,-1.8286271e-05,0.0,55.869034,0.0,0.0,0.005524259,9.313226e-09,287.74762,-0.76830596,-1.9685297,0.022637546,-3.7902355e-06,0.0,71.860245,0.0,0.0,0.006555479,5.7183206e-07,286.5893,0.3000229,-1.5069513,0.0014850497,1.6484657e-05,0.0,92.69032,0.0,0.0,0.0079908185,7.1646646e-06,286.2057,0.99872285,-1.354516,-0.06960565,-3.1383097e-06,0.37304688,96.95497,0.0,1.2177043e-06,0.007435959,6.0040504e-05,285.7583,0.60309297,-1.1169977,-0.059916317,1.6011909e-06,0.0,64.86513,0.0,0.0,0.005575221,1.8626451e-09,286.15973,0.5557907,-2.0472345,0.097813785,-4.1173524e-05,0.0,67.61708,0.0,0.0,0.0064860396,2.5052577e-07,287.51794,-0.0031692386,-0.67730045,0.054497898,-2.8179347e-06,0.0,94.36806,0.0,3.5390258e-08,0.006514471,1.2384728e-05,285.38318,0.606572,-1.3358393,0.02497214
