file_id,d_0,cc_0,r_0,ciwc_0,clwc_0,q_0,crwc_0,t_0,u_0,v_0,w_0,d_1,cc_1,r_1,ciwc_1,clwc_1,q_1,crwc_1,t_1,u_1,v_1,w_1,d_2,cc_2,r_2,ciwc_2,clwc_2,q_2,crwc_2,t_2,u_2,v_2,w_2,d_3,cc_3,r_3,ciwc_3,clwc_3,q_3,crwc_3,t_3,u_3,v_3,w_3,d_4,cc_4,r_4,ciwc_4,clwc_4,q_4,crwc_4,t_4,u_4,v_4,w_4,d_5,cc_5,r_5,ciwc_5,clwc_5,q_5,crwc_5,t_5,u_5,v_5,w_5,d_6,cc_6,r_6,ciwc_6,clwc_6,q_6,crwc_6,t_6,u_6,v_6,w_6,d_7,cc_7,r_7,ciwc_7,clwc_7,q_7,crwc_7,t_7,u_7,v_7,w_7,d_8,cc_8,r_8,ciwc_8,clwc_8,q_8,crwc_8,t_8,u_8,v_8,w_8
24,2.6869733e-05,0.99609375,99.66635,0.0,0.0001424551,0.008075424,0.00011947687,286.24298,-0.5697546,1.6476946,-0.08416432,-8.059744e-05,0.83984375,99.40268,0.0,9.793043e-05,0.008504935,1.2095376e-05,285.58826,-2.115409,4.1176653,-0.27270955,-4.0375482e-05,0.1171875,96.868744,0.0,1.9848347e-05,0.007946022,0.00016095425,286.28357,-1.0106726,2.655507,-0.19289845,-8.6289685e-05,0.21875,97.49545,0.0,2.6166439e-05,0.008448757,4.388328e-05,285.2907,-2.617118,9.702626,-0.33147877,-1.27003e-05,0.47265625,98.814545,0.0,9.11355e-05,0.009280987,2.1151558e-05,286.59308,-0.6581335,2.2148333,-0.13288563,3.6186684e-05,0.0078125,89.52426,0.0,8.940697e-07,0.00879354,3.568187e-06,286.97693,-4.7449255,7.171132,0.071757615,-1.3877492e-05,0.00390625,90.736176,0.0,5.9604645e-07,0.008242764,1.5101686e-05,285.70862,-2.4568396,13.337392,-0.03543538,0.00013278719,0.1640625,94.772064,0.0,4.887581e-06,0.009037681,6.906047e-06,286.39984,-1.6724157,5.9391985,0.12877208,-4.605655e-05,0.0,84.013275,0.0,0.0,0.008396931,6.663903e-06,288.02814,-2.0836706,3.5422258,-0.16062611
27,1.0456482e-05,0.19433594,91.51404,0.0,1.4994293e-05,0.005410919,8.0948696e-05,279.43585,-1.0409622,5.5242214,0.077559054,3.11989e-05,0.0,80.458374,0.0,0.0,0.004118869,2.7129427e-05,280.59802,-0.5187454,1.3997097,0.041479647,-7.283356e-05,0.0,66.50037,0.0,0.0,0.0036321674,1.0784715e-06,281.30035,-0.098091125,0.83904076,-0.07021469,-7.899891e-05,0.0,90.58728,0.0,3.7252903e-07,0.005412737,6.294437e-05,279.4673,-0.5355911,4.3406277,-0.14360946,3.655214e-05,0.0,82.753296,0.0,0.0,0.0045781825,1.47577375e-05,280.3775,0.68956757,-0.41669655,-0.0635466,5.8203528e-05,0.0,74.11853,0.0,0.0,0.004277179,1.3168901e-06,279.78516,1.0181808,0.5493679,-0.080079496,5.874742e-05,0.0,72.54236,0.0,0.0,0.0048278365,3.278628e-05,281.1364,-0.01184845,6.0472927,0.20421463,2.4992565e-05,0.0,61.659546,0.0,0.0,0.0034726355,2.8721988e-06,282.56158,1.5996017,1.5167751,-0.014329374,5.9235434e-05,0.0,58.097046,0.0,0.0,0.0035238657,0.0,282.3376,0.68724823,3.0647488,0.23427445
30,-7.851006e-05,0.1953125,89.31433,0.0,1.7121434e-05,0.0054307915,2.3585322e-05,279.9215,3.1555698,2.3299484,-0.34901065,1.8060644e-05,0.37890625,94.284546,0.0,1.7747283e-05,0.005867604,4.059686e-05,280.38684,1.3369663,2.0718918,-0.06591433,-0.00010417358,0.0234375,91.955444,0.0,1.1175871e-06,0.006380085,0.00012113391,281.97986,0.22148782,7.1688156,-0.11631411,-8.048446e-05,0.0,80.066284,0.0,0.0,0.0059652664,2.3289162e-05,282.76025,9.8716345,6.995964,-0.10453433,-0.0001553777,0.013671875,84.47449,0.0,1.3262033e-06,0.006263498,3.493442e-05,282.85242,6.4009314,8.287712,-0.2980768,-9.521405e-06,0.005859375,80.8866,0.0,0.0,0.0064084567,2.500652e-05,283.89355,0.4004429,4.9427414,0.33559018,-3.7453632e-05,0.0,80.66052,0.0,0.0,0.0065461732,3.9455927e-06,283.94727,9.578177,9.765984,-0.07438296,-5.2477728e-05,0.0,80.75964,0.0,0.0,0.006450657,6.7190713e-06,283.9441,6.846488,10.728386,-0.20750064,3.1475414e-05,0.001953125,75.76648,0.0,4.4703484e-07,0.006131474,4.033137e-06,284.33972,1.8984897,2.4581223,-0.058468044
34,7.689506e-06,0.0,23.563055,0.0,0.0,0.0020825714,0.0,285.92822,3.8483362,1.4689093,0.070579305,3.6645255e-05,0.0,18.889227,0.0,0.0,0.0018865913,0.0,287.16724,4.47828,1.03263,-0.016807776,1.4771283e-05,0.0,18.977606,0.0,0.0,0.0019327253,0.0,287.94543,5.099984,0.16965389,0.11257149,-3.5432709e-07,0.0,14.298895,0.0,0.0,0.0014995188,0.0,288.068,3.8859339,1.0030279,0.13014199,1.2312591e-05,0.0,15.287664,0.0,0.0,0.001566872,0.0,289.1089,4.4115076,0.34757137,0.039870996,1.9398094e-05,0.0,45.084053,0.0,0.0,0.004345879,0.0,288.4756,4.8936243,-1.11654,0.046783227,1.1591747e-05,0.0,14.06452,0.0,0.0,0.0016247481,0.0,289.19067,4.155465,0.8297491,0.061088342,1.6999938e-05,0.0,13.508368,0.0,0.0,0.0017225593,0.0,290.21216,4.568185,-0.14608097,0.05121209,8.322805e-06,0.0,32.236885,0.0,0.0,0.0035270303,0.0,290.00146,6.545541,-0.88478947,0.034492273
42,-7.430979e-06,0.0,69.441666,0.0,0.0,0.006895229,8.318693e-09,288.25244,-0.2554379,5.922909,0.056539714,3.7335834e-05,0.0,59.626724,0.0,0.0,0.006720826,4.1593466e-09,289.23486,-0.5443173,4.7886925,0.13986033,-2.2123524e-05,0.0,52.418716,0.0,0.0,0.005296096,0.0,287.20728,-0.9998837,3.3164635,0.0071393847,9.075782e-06,0.0,59.53932,0.0,0.0,0.008201465,0.0,292.09827,0.46880525,3.8074303,-0.054467976,2.2589273e-05,0.0,56.569107,0.0,0.0,0.007520482,0.0,291.43445,0.3419742,3.121212,-0.044858754,-1.8202656e-05,0.0,51.504654,0.0,0.0,0.0066830963,0.0,291.1062,-0.01904875,2.87463,-0.02796346,-8.7888475e-06,0.0,50.393326,0.0,0.0,0.008039162,0.0,294.42444,1.9204655,2.650692,-0.040593922,-2.7687245e-05,0.0,48.793716,0.0,0.0,0.007507667,0.0,293.6223,1.1253605,2.9739342,-0.06273824,-1.2063538e-08,0.0,47.74684,0.0,0.0,0.0068200678,0.0,292.83533,0.9601993,3.1474571,-0.036550343
45,-2.4140609e-06,0.0,52.245636,0.0,0.0,0.0033061898,0.0,280.86877,3.2821054,0.9594313,-0.2318629,-3.4309996e-05,0.0,56.342316,0.0,0.0,0.003961066,1.1939119e-07,281.72095,4.2545176,3.1267896,-0.026204944,1.6177e-05,0.0,57.305206,0.0,0.0,0.0030466712,2.4835754e-07,280.1853,3.0293589,0.6869093,-0.44211376,-3.0037088e-05,0.0,57.29251,0.0,0.0,0.0038994348,0.0,280.672,3.0657358,0.8297316,-0.1272639,2.43447e-05,0.0,50.655792,0.0,0.0,0.0034729636,2.4076144e-08,281.54956,2.3937387,0.78816664,-0.26627147,3.876716e-05,0.0,56.45755,0.0,0.0,0.0027525222,1.0878284e-07,281.04187,2.3954477,-0.09434068,-0.12763011,3.481211e-06,0.0,54.348175,0.0,0.0,0.003925005,0.0,281.78113,1.82306,0.1281935,-0.05951488,-1.1917276e-05,0.0,75.53763,0.0,2.0451844e-06,0.005403558,4.0723535e-08,282.72424,2.0092173,1.3767897,-0.17288768,2.8202237e-05,0.12060547,76.64603,0.0,9.234995e-06,0.0047787223,4.487738e-07,282.7215,2.5327158,0.04713881,0.18970692
50,-8.570685e-05,0.0,68.04903,0.0,0.0,0.0035014895,0.0,277.50555,4.363414,-3.9493437,-0.3619662,-6.672277e-05,0.0,63.76094,0.0,0.0,0.0031387059,1.3424142e-09,276.92767,2.6270857,0.25903034,-0.07470423,1.4466204e-05,0.0,98.06856,1.1436641e-06,0.0,0.0032319573,0.0,275.4879,1.5711164,-0.39514446,-0.22445399,-5.6072167e-05,0.0,69.71211,0.0,0.0,0.0034177152,2.2433233e-07,277.29645,1.7929792,-2.0341825,-0.1711703,-1.8811814e-05,0.0,55.96016,0.0,0.0,0.003048226,0.0,277.88373,3.5398054,-2.1121855,0.058154047,6.949619e-05,0.0,83.06172,0.0,0.0,0.0031574664,0.0,276.0926,2.9458723,0.23266315,0.12979406,-2.6925496e-05,0.0,65.52852,0.0,0.0,0.003273159,0.0,277.62567,1.2502546,-1.5319853,0.0009946227,-3.282263e-05,0.0,69.759964,0.0,0.0,0.003235012,8.806455e-08,277.05304,1.4360456,-0.5059843,-0.20483118,4.955099e-05,0.0,74.17403,0.0,0.0,0.0026295779,0.0,276.5929,3.2933455,-0.50329876,0.38078588
56,-9.549331e-06,0.0,49.583878,1.0022632e-08,0.0,0.0017116962,0.0,271.99072,4.8198996,-1.5918007,-0.026776493,5.9627782e-06,0.0,48.22328,0.0,0.0,0.0015545858,0.0,271.8224,5.2324667,-1.3841286,-0.08474463,2.2573848e-05,0.0,45.042862,0.0,0.0,0.0014425663,0.0,272.11554,5.8362875,-1.1663399,-0.12103003,1.4290999e-06,0.0,43.166153,0.0,0.0,0.0016767678,0.0,273.864,4.5907736,-1.0621376,-0.011456668,7.8515e-06,0.0,42.17372,0.0,0.0,0.0016176102,0.0,273.63483,4.739089,-0.90553665,-0.012173831,3.1387885e-05,0.0,46.059464,0.0,0.0,0.0015672368,0.0,273.04053,5.911849,-1.2536964,-0.2320835,6.1546307e-06,0.0,41.23671,0.0,0.0,0.0018102301,0.0,275.12903,4.470626,-0.9355049,-0.07832068,1.45961385e-05,0.0,44.381973,0.0,0.0,0.0017321107,0.0,274.48315,4.605605,-0.69086075,-0.34400672,-3.5946738e-05,0.0,41.548965,0.0,0.0,0.0016975102,0.0,275.06488,5.024947,-1.3993416,0.61209375
61,-1.2211967e-06,0.0,98.4171,0.0,0.0,0.006761972,3.7032296e-05,282.63428,-1.9432764,-0.34124362,0.0017610192,-2.5863992e-05,0.0,95.28038,0.0,0.0,0.0072354116,6.1720726e-05,284.1953,-1.840127,-0.42620456,-0.02017349,-3.9049657e-05,0.0,92.54991,0.0,0.0,0.00716478,3.7849997e-05,285.3308,-1.6955347,2.1506996,0.03655106,-3.384915e-05,0.0,69.19347,0.0,0.0,0.008405808,5.8842124e-06,291.40698,-0.19162846,2.69318,0.02203995,-1.4904188e-05,0.0,58.659286,0.0,0.0,0.007244114,3.9880397e-06,292.42798,0.08766842,3.8601723,0.17178208,-2.1436485e-05,0.0,60.14952,0.0,0.0,0.0060231127,8.109142e-06,290.41187,-1.2906885,4.000065,0.29339463,5.1974785e-06,0.0,76.42784,0.0,0.0,0.009012643,5.0113653e-05,292.2727,0.12868404,2.3870277,-0.094331205,-1.2693228e-05,0.0,59.767685,0.0,0.0,0.0068025626,3.1631556e-05,291.9192,-1.1699,2.8151283,-0.012788236,2.7375994e-05,0.0,61.031357,0.0,0.0,0.0056432523,2.1482934e-05,289.59546,-1.0642481,2.6958656,-0.19907516
64,2.1919579e-05,0.0,73.70355,0.0,0.0,0.006452378,9.872019e-08,285.58344,0.52765626,-2.3148203,-0.012082517,1.0877819e-05,0.0,51.11371,0.0,0.0,0.0056692325,0.0,288.79187,-0.0646289,-3.130494,-0.000882566,-2.7872651e-05,0.0,49.30902,0.0,0.0,0.0056105815,3.799796e-07,289.38464,-0.9064868,-3.2177744,0.014967501,-1.5683501e-05,0.0,70.24164,0.0,0.0,0.0066398345,2.280809e-06,286.5611,1.2843702,-2.5947275,0.025423586,-1.5758269e-06,0.0052490234,84.730896,0.0,2.1304004e-07,0.008265313,2.4543144e-05,287.51202,1.509773,-1.663331,-0.07439178,-7.119405e-05,0.005218506,85.211365,0.0,7.0990063e-07,0.007952746,5.169399e-05,288.02942,1.1352003,-0.8504648,-0.030114591,-1.1693715e-05,0.0,54.51996,0.0,0.0,0.00508916,8.540228e-07,287.20654,2.5473707,-2.848878,0.093248904,-4.552334e-06,0.0,67.808044,0.0,0.0,0.006476339,1.9911677e-05,287.80322,1.7390821,-1.7406015,-0.015088499,-0.0001064651,0.0,64.97504,0.0,0.0,0.006081637,1.0774471e-05,289.2553,0.65473145,1.4473867,-0.08637375
