id,avg_precip_24h_early,avg_precip_12h_early,avg_precip_current
24,55.79873085,55.79873085,3.075741697
27,7.124608517,7.124608517,5.861119449
30,0.220189889,0.220189889,0
34,12.23236775,47.33150768,47.33150768
42,2.622772932,2.622772932,3.048273385
45,9.824577093,9.824577093,0.400507897
50,0.407500207,0.407500207,0
56,1.190592885,1.190592885,0.139324591
61,24.1457715,24.1457715,1.568796337
64,1.106907904,1.106907904,0
67,0,0,26.33118296
109,19.18658844,19.18658844,15.31619763
128,3.077384025,3.077384025,6.635243058
138,8.054736834,8.054736834,6.849988997
139,12.53177404,12.53177404,9.92039156
140,0.040402488,0.040402488,0
185,0.241983837,0.241983837,2.802883893
187,0,0,18.09056306
188,5.755565524,5.755565524,1.980143055
189,0.665763274,0.665763274,13.71967125
193,18.09056306,18.09056306,27.42730141
194,18.09056306,18.09056306,27.42730141
197,7.574905783,7.574905783,14.02673912
236,1.510192871,1.510192871,4.769017339
238,3.661696315,3.661696315,3.642326772
268,3.139147073,3.139147073,19.83629894
278,1.30734954,1.30734954,1.72987242
306,4.035276555,4.035276555,14.84848809
310,0,0,0
317,5.741279662,5.741279662,14.14137983
337,1.485428255,1.485428255,0.007132929
344,0,0,0
345,0.031804605,0.031804605,1.358449593
375,0,0,0.008519191
376,1.269856676,1.269856676,3.283050813
379,2.904523492,2.904523492,41.32755566
380,2.904523492,2.904523492,41.32755566
381,5.120000124,5.120000124,42.68000031
382,29.6729846,1.888470225,1.888470225
384,9.160000324,9.160000324,1.160000086
385,0.753030275,5.923075289,5.923075289
386,3.04269141,3.04269141,7.196259737
394,17.87483716,17.87483716,0.080000043
396,1.595901728,1.595901728,20.70556355
403,0.015150269,0.015150269,1.133784205
414,25.70058143,25.70058143,5.012076125
415,6.239999771,6.239999771,2.0400002
418,5.681221455,5.681221455,4.320491552
420,8.02351737,8.02351737,5.936161876
433,0,0,0
436,34.11886597,0,0
438,2.760000467,2.760000467,12.60000062
446,11.40763843,11.40763843,5.00709923
449,1.625890955,1.625890955,0.37607114
450,1.943816632,1.943816632,7.326442614
456,0,0,0
469,0,0,39.53471184
473,0.026894527,0.026894527,0
476,27.20309114,27.20309114,0.288109809
477,0,0,0
479,0,0,10.68705666
480,0.044120239,0.044120239,0
485,0,0,0
487,23.30885148,23.30885148,13.23393965
491,28.4185183,28.4185183,20.49233556
494,0,0,0.012686983
498,21.43651104,21.43651104,22.72441864
499,0.031123143,0.031123143,0
509,22.43505526,22.43505526,11.42222637
514,22.73860025,22.73860025,23.54711246
515,17.65620661,17.65620661,26.6269474
530,6.772733212,6.772733212,26.75642443
532,11.19098902,11.19098902,0
546,6.542065084,6.542065084,7.178311229
547,3.745504141,3.745504141,0.743674755
549,0,0,0.114230475
550,0.129479333,0.129479333,1.385720242
555,0.168772472,0.168772472,0.78351751
577,0,0,69.75388145
579,0.019934999,0.019934999,0.430089433
590,2.368661165,2.368661165,6.700326383
597,0.640664756,0.640664756,4.545746431
617,2.527763546,2.527763546,6.135804228
627,0.996192783,0.996192783,8.03065908
629,1.531558543,1.531558543,0.011774654
633,7.597622037,7.597622037,19.27018261
634,2.780553065,2.780553065,25.16245794
635,18.63754284,18.63754284,0.246937476
640,0.356457753,0.356457753,0.380580002
643,2.181689814,2.181689814,0.248181567
648,0.737521746,0.737521746,0.216584852
649,0,0,1.670476709
658,0.817825889,0.817825889,1.30859784
659,0.831803404,0.831803404,6.694763362
660,0.413257793,0.413257793,6.711065948
